2025-01-01T10:15:30;1024;OK;192.168.1.10
2025-01-01T08:00:01;512;OK;192.168.1.10
2025-01-01T08:00:02;1024;OK;192.168.1.10
2025-01-01T08:00:03;2048;OK;192.168.1.10
2025-01-01T08:00:04;512;NOT_FOUND;192.168.1.10
2025-01-01T08:00:05;256;OK;192.168.1.10

2025-01-01T08:01:10;1024;OK;10.0.0.5
2025-01-01T08:01:11;2048;OK;10.0.0.5
2025-01-01T08:01:12;512;OK;10.0.0.5
2025-01-01T08:01:13;512;FORBIDDEN;10.0.0.5

2025-01-01T08:02:20;4096;OK;172.16.0.3
2025-01-01T08:02:21;1024;OK;172.16.0.3
2025-01-01T08:02:22;2048;OK;172.16.0.3
2025-01-01T08:02:23;1024;INTERNAL_SERVER_ERROR;172.16.0.3

2025-01-01T08:03:30;128;OK;203.0.113.50
2025-01-01T08:03:31;256;OK;203.0.113.50

2025-01-01T08:04:40;8192;OK;198.51.100.23
2025-01-01T08:04:41;4096;OK;198.51.100.23
2025-01-01T08:04:42;2048;OK;198.51.100.23
2025-01-01T08:04:43;1024;BAD_REQUEST;198.51.100.23
